Spectrum 1,04/16/2025 11:07:37
[Global Parameters]
-145.10420227050781,2424781875.0000000000000000000
-144.9219970703125,2424782083.3333333333333333333
-144.92840576171875,2424782291.6666666666666666667
-144.90950012207031,2424782500.0000000000000000000
-145.23330688476563,2424782708.3333333333333333333
-145.64700317382813,2424782916.6666666666666666667
-145.21549987792969,2424783125.0000000000000000000
-145.24130249023438,2424783333.3333333333333333333
-145.11759948730469,2424783541.6666666666666666667
-145.19569396972656,2424783750.0000000000000000000
-144.73919677734375,2424783958.3333333333333333333
-144.34890747070313,2424784166.6666666666666666667
-144.43150329589844,2424784375.0000000000000000000
-144.54930114746094,2424784583.3333333333333333333
-144.00590515136719,2424784791.6666666666666666667
-143.86050415039063,2424785000.0000000000000000000
-144.11940002441406,2424785208.3333333333333333333
-144.34019470214844,2424785416.6666666666666666667
-144.43370056152344,2424785625.0000000000000000000
-144.52360534667969,2424785833.3333333333333333333
-144.87199401855469,2424786041.6666666666666666667
-145.08779907226563,2424786250.0000000000000000000
-145.24630737304688,2424786458.3333333333333333333
-145.58970642089844,2424786666.6666666666666666667
-146.08059692382813,2424786875.0000000000000000000
-145.64259338378906,2424787083.3333333333333333333
-145.35989379882813,2424787291.6666666666666666667
-145.13009643554688,2424787500.0000000000000000000
-144.73500061035156,2424787708.3333333333333333333
-144.73959350585938,2424787916.6666666666666666667
-144.48080444335938,2424788125.0000000000000000000
-143.81449890136719,2424788333.3333333333333333333
-143.92849731445313,2424788541.6666666666666666667
-143.95429992675781,2424788750.0000000000000000000
-144.13679504394531,2424788958.3333333333333333333
-144.46119689941406,2424789166.6666666666666666667
-144.81629943847656,2424789375.0000000000000000000
-145.00349426269531,2424789583.3333333333333333333
-145.4346923828125,2424789791.6666666666666666667
-146.07029724121094,2424790000.0000000000000000000
-146.23599243164063,2424790208.3333333333333333333
-147.55479431152344,2424790416.6666666666666666667
-148.12930297851563,2424790625.0000000000000000000
-148.67239379882813,2424790833.3333333333333333333
-148.6903076171875,2424791041.6666666666666666667
-149.77960205078125,2424791250.0000000000000000000
-150.02130126953125,2424791458.3333333333333333333
-150.58050537109375,2424791666.6666666666666666667
-151.06300354003906,2424791875.0000000000000000000
-152.06300354003906,2424792083.3333333333333333333
-152.48260498046875,2424792291.6666666666666666667
-153.03919982910156,2424792500.0000000000000000000
-153.64059448242188,2424792708.3333333333333333333
