Spectrum 1,04/19/2025 16:51:30
[Global Parameters]
-146.0758056640625,2424670000
-146.05819702148438,2424671000
-145.78860473632813,2424672000
-145.78070068359375,2424673000
-145.4407958984375,2424674000
-145.67320251464844,2424675000
-145.59739685058594,2424676000
-145.89649963378906,2424677000
-146.01210021972656,2424678000
-146.00990295410156,2424679000
-145.08070373535156,2424680000
-145.41470336914063,2424681000
-145.77560424804688,2424682000
-145.55050659179688,2424683000
-145.88519287109375,2424684000
-145.50709533691406,2424685000
-145.90350341796875,2424686000
-145.79209899902344,2424687000
-145.76609802246094,2424688000
-145.57130432128906,2424689000
-146.32110595703125,2424690000
-145.58770751953125,2424691000
-145.74490356445313,2424692000
-145.968505859375,2424693000
-145.32470703125,2424694000
-145.97659301757813,2424695000
-145.88290405273438,2424696000
-145.89399719238281,2424697000
-146.093505859375,2424698000
-146.31509399414063,2424699000
-145.89419555664063,2424700000
-146.24220275878906,2424701000
-145.64900207519531,2424702000
-144.78700256347656,2424703000
-145.36199951171875,2424704000
-145.25999450683594,2424705000
-146.2781982421875,2424706000
-145.96389770507813,2424707000
-146.03959655761719,2424708000
-145.8052978515625,2424709000
-145.63859558105469,2424710000
-146.17250061035156,2424711000
-145.19439697265625,2424712000
-146.86619567871094,2424713000
-145.55180358886719,2424714000
-145.57609558105469,2424715000
-145.22669982910156,2424716000
-145.58749389648438,2424717000
-145.22909545898438,2424718000
-145.79400634765625,2424719000
-145.82369995117188,2424720000
-145.01069641113281,2424721000
-145.34970092773438,2424722000
-145.65150451660156,2424723000
-145.61109924316406,2424724000
-145.85820007324219,2424725000
-145.64439392089844,2424726000
-145.08320617675781,2424727000
-145.34210205078125,2424728000
-146.22720336914063,2424729000
-145.55670166015625,2424730000
-146.00140380859375,2424731000
-146.52110290527344,2424732000
-145.54269409179688,2424733000
-145.80329895019531,2424734000
-145.47770690917969,2424735000
-146.14129638671875,2424736000
-145.92880249023438,2424737000
-145.34199523925781,2424738000
-145.90550231933594,2424739000
-145.86549377441406,2424740000
-145.82609558105469,2424741000
-146.06719970703125,2424742000
-145.38450622558594,2424743000
-145.46279907226563,2424744000
-145.58219909667969,2424745000
-145.84280395507813,2424746000
-145.18850708007813,2424747000
-145.48550415039063,2424748000
-146.1802978515625,2424749000
-145.65750122070313,2424750000
-145.59339904785156,2424751000
-145.86909484863281,2424752000
-145.73890686035156,2424753000
-145.80830383300781,2424754000
-145.80349731445313,2424755000
-144.68879699707031,2424756000
-144.92039489746094,2424757000
-145.87789916992188,2424758000
-145.78070068359375,2424759000
-145.76629638671875,2424760000
-145.7261962890625,2424761000
-145.78950500488281,2424762000
-145.50709533691406,2424763000
-145.55589294433594,2424764000
