Spectrum 1,04/08/2025 15:24:23
[Global Parameters]
-105.89984130859375,2422522916.6666666666666666667
-105.89186096191406,2422525000.0000000000000000000
-105.88324737548828,2422527083.3333333333333333333
-105.87403106689453,2422529166.6666666666666666667
-105.86422729492188,2422531250.0000000000000000000
-105.85382080078125,2422533333.3333333333333333333
-105.84284973144531,2422535416.6666666666666666667
-105.83130645751953,2422537500.0000000000000000000
-105.81925964355469,2422539583.3333333333333333333
-105.80670166015625,2422541666.6666666666666666667
-105.793701171875,2422543750.0000000000000000000
-105.7802734375,2422545833.3333333333333333333
-105.76647186279297,2422547916.6666666666666666667
-105.75237274169922,2422550000.0000000000000000000
-105.73800659179688,2422552083.3333333333333333333
-105.72342681884766,2422554166.6666666666666666667
-105.70871734619141,2422556250.0000000000000000000
-105.69391632080078,2422558333.3333333333333333333
-105.67910766601563,2422560416.6666666666666666667
-105.66436004638672,2422562500.0000000000000000000
-105.64972686767578,2422564583.3333333333333333333
-105.63529205322266,2422566666.6666666666666666667
-105.62111663818359,2422568750.0000000000000000000
-105.60727691650391,2422570833.3333333333333333333
-105.59381103515625,2422572916.6666666666666666667
-105.58084869384766,2422575000.0000000000000000000
-105.56839752197266,2422577083.3333333333333333333
-105.55654907226563,2422579166.6666666666666666667
-105.54532623291016,2422581250.0000000000000000000
-105.53484344482422,2422583333.3333333333333333333
-105.52510070800781,2422585416.6666666666666666667
-105.51616668701172,2422587500.0000000000000000000
-105.50810241699219,2422589583.3333333333333333333
-105.50092315673828,2422591666.6666666666666666667
-105.49469757080078,2422593750.0000000000000000000
-105.48940277099609,2422595833.3333333333333333333
-105.485107421875,2422597916.6666666666666666667
-105.48182678222656,2422600000.0000000000000000000
-105.47958374023438,2422602083.3333333333333333333
-105.47834777832031,2422604166.6666666666666666667
-105.47814178466797,2422606250.0000000000000000000
-105.47898864746094,2422608333.3333333333333333333
-105.48087310791016,2422610416.6666666666666666667
-105.48372650146484,2422612500.0000000000000000000
